gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureCohort,ServiceCount,HasSecurityBundle,HasStreamingBundle,MonthlyToTotalRatio,HighRiskContractFiber
Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.57,1630.8,No,Established_25-48m,0,0,0,0.021185194264002942,0
Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.57,6092.56,Yes,Loyal_49-72m,3,0,0,0.016996632510388014,1
Male,1,No,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.27,836.14,Yes,New_0-12m,3,0,0,0.092302362806699,0
Male,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.69,2914.91,No,Loyal_49-72m,0,0,0,0.015669207897363088,0
Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,93.43,4593.7,No,Loyal_49-72m,2,0,0,0.02033429821315864,0
Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.62,1149.91,No,Established_25-48m,0,0,0,0.030949422630787808,0
Male,0,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,100.5,5618.55,No,Loyal_49-72m,2,0,0,0.017883994270003825,0
Male,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,92.58,6200.86,No,Loyal_49-72m,2,0,0,0.01492777973059695,0
Male,0,No,No,65,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.19,4964.04,No,Loyal_49-72m,1,0,0,0.015345294297729725,0
Female,0,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.14,116.51,Yes,New_0-12m,2,0,0,0.6479448557569568,1
