customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.57,1630.8,No
CUST-00002,Female,0,Yes,Yes,59,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.57,6092.56,Yes
CUST-00003,Male,1,No,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.27,836.14,Yes
CUST-00004,Male,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.69,2914.91,No
CUST-00005,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,93.43,4593.7,No
CUST-00006,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.62,1149.91,No
CUST-00007,Male,0,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,100.5,5618.55,No
CUST-00008,Male,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,92.58,6200.86,No
CUST-00009,Male,0,No,No,65,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.19,4964.04,No
CUST-00010,Female,0,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.14,116.51,Yes
CUST-00011,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.98,724.35,Yes
CUST-00012,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.49,393.78,No
CUST-00013,Male,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,112.31,3917.07,Yes
CUST-00014,Male,0,No,No,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.56,427.99,Yes
CUST-00015,Female,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,75.12,1051.91,No
CUST-00016,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.84,166.52,Yes
CUST-00017,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),102.53,4811.06,Yes
CUST-00018,Female,1,No,Yes,4,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),97.99,400.82,Yes
CUST-00019,Female,0,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.37,568.68,No
CUST-00020,Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.39,1711.46,Yes
CUST-00021,Female,1,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),87.39,5168.24,No
CUST-00022,Male,0,No,No,17,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,83.25,1407.37,Yes
